rho R(km) M(SM) 
1767763.502754 8971.545850 0.409093 
1769531.266257 8970.103451 0.409242 
1771300.797523 8968.660264 0.409392 
1773072.098321 8967.220687 0.409541 
1774845.170419 8965.781156 0.409690 
1776620.015589 8964.340784 0.409839 
1778396.635605 8962.899576 0.409987 
1780175.032241 8961.461521 0.410136 
1781955.207273 8960.044336 0.410288 
1783737.162480 8958.626396 0.410439 
1785520.899643 8957.207709 0.410591 
1787306.420542 8955.788278 0.410742 
1789093.726963 8954.377117 0.410893 
1790882.820690 8953.001192 0.411045 
1792673.703511 8951.625130 0.411197 
1794466.377214 8950.248227 0.411349 
1796260.843591 8948.870488 0.411500 
1798057.104435 8947.496719 0.411652 
1799855.161539 8946.153726 0.411804 
1801655.016701 8944.809806 0.411957 
1803456.671718 8943.464966 0.412109 
1805260.128389 8942.119212 0.412261 
1807065.388518 8940.772552 0.412412 
1808872.453906 8939.424991 0.412563 
1810681.326360 8938.076536 0.412714 
1812492.007686 8936.727194 0.412865 
1814304.499694 8935.376972 0.413016 
1816118.804194 8934.025875 0.413166 
1817934.922998 8932.673910 0.413316 
1819752.857921 8931.321083 0.413466 
1821572.610779 8929.967401 0.413615 
1823394.183390 8928.612871 0.413764 
1825217.577573 8927.257498 0.413913 
1827042.795151 8925.901288 0.414062 
1828869.837946 8924.544248 0.414210 
1830698.707784 8923.186391 0.414358 
1832529.406492 8921.827730 0.414506 
1834361.935898 8920.468256 0.414654 
1836196.297834 8919.107996 0.414801 
1838032.494132 8917.746941 0.414949 
1839870.526626 8916.385092 0.415095 
1841710.397152 8915.022456 0.415242 
1843552.107550 8913.659038 0.415388 
1845395.659657 8912.294845 0.415535 
1847241.055317 8910.929882 0.415680 
1849088.296372 8909.564156 0.415826 
1850937.384669 8908.197672 0.415971 
1852788.322053 8906.830436 0.416117 
1854641.110375 8905.462454 0.416261 
1856495.751486 8904.093732 0.416406 
1858352.247237 8902.724275 0.416550 
1860210.599484 8901.354089 0.416695 
1862070.810084 8899.983180 0.416838 
1863932.880894 8898.617882 0.416983 
1865796.813775 8897.283005 0.417132 
1867662.610589 8895.961040 0.417283 
1869530.273199 8894.638175 0.417434 
1871399.803472 8893.314418 0.417584 
1873271.203276 8891.989774 0.417734 
1875144.474479 8890.664251 0.417884 
1877019.618954 8889.337853 0.418034 
1878896.638573 8888.010588 0.418183 
1880775.535211 8886.682462 0.418332 
1882656.310746 8885.353481 0.418481 
1884538.967057 8884.023652 0.418629 
1886423.506024 8882.692980 0.418778 
1888309.929530 8881.361471 0.418926 
1890198.239460 8880.029132 0.419074 
1892088.437699 8878.695970 0.419221 
1893980.526137 8877.361989 0.419369 
1895874.506663 8876.027196 0.419516 
1897770.381170 8874.691598 0.419663 
1899668.151551 8873.355199 0.419809 
1901567.819702 8872.018007 0.419956 
1903469.387522 8870.680026 0.420102 
1905372.856910 8869.341264 0.420247 
1907278.229767 8868.001725 0.420393 
1909185.507996 8866.661458 0.420538 
1911094.693504 8865.321479 0.420683 
1913005.788198 8863.980739 0.420828 
1914918.793986 8862.639244 0.420973 
1916833.712780 8861.296999 0.421117 
1918750.546493 8859.954011 0.421261 
1920669.297039 8858.610285 0.421405 
1922589.966336 8857.265826 0.421549 
1924512.556303 8855.920641 0.421692 
1926437.068859 8854.574734 0.421835 
1928363.505928 8853.228112 0.421978 
1930291.869434 8851.880781 0.422121 
1932222.161303 8850.532744 0.422263 
1934154.383464 8849.184009 0.422405 
1936088.537848 8847.834580 0.422547 
1938024.626386 8846.484463 0.422689 
1939962.651012 8845.133664 0.422830 
1941902.613663 8843.782187 0.422972 
1943844.516277 8842.430039 0.423113 
1945788.360793 8841.077224 0.423253 
1947734.149154 8839.723748 0.423394 
1949681.883303 8838.369617 0.423534 
1951631.565186 8837.014834 0.423674 
1953583.196752 8835.659407 0.423814 
1955536.779948 8834.306828 0.423953 
1957492.316728 8832.955537 0.424092 
1959449.809045 8831.603607 0.424232 
1961409.258854 8830.251044 0.424370 
1963370.668113 8828.909373 0.424510 
1965334.038781 8827.582253 0.424653 
1967299.372820 8826.254555 0.424794 
1969266.672193 8824.926281 0.424936 
1971235.938865 8823.597439 0.425077 
1973207.174804 8822.268031 0.425218 
1975180.381978 8820.938063 0.425359 
1977155.562360 8819.607539 0.425500 
1979132.717923 8818.276465 0.425640 
1981111.850641 8816.944844 0.425780 
1983092.962491 8815.619913 0.425920 
1985076.055454 8814.304687 0.426060 
1987061.131509 8812.988874 0.426200 
1989048.192641 8811.672481 0.426339 
1991037.240833 8810.355510 0.426479 
1993028.278074 8809.037968 0.426618 
1995021.306352 8807.719858 0.426756 
1997016.327659 8806.413132 0.426896 
1999013.343986 8805.123678 0.427035 
2001012.357330 8803.833644 0.427175 
2003013.369688 8802.550333 0.427314 
2005016.383057 8801.276606 0.427453 
2007021.399440 8800.002258 0.427592 
2009028.420840 8798.727295 0.427731 
2011037.449261 8797.451720 0.427869 
2013048.486710 8796.175539 0.428007 
2015061.535197 8794.898755 0.428145 
2017076.596732 8793.621374 0.428283 
